,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,num_steps,compound_set,batch,hits,name,base_compound_smiles,num_steps,compound_set,batch,hits,name
0,Amidation,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)C1CCCO1,,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,N-Boc_deprotection,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,,1.0,Cn1ncc(N)c1NC(=O)C1CCCO1,Amidation,Cn1ncc(N)c1NC(=O)C1CCCO1,N#CCC(=O)O,1.0,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,,,,,,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,3,x0310-x0416-merge-1-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,LXINEYASRREWNB-UHFFFAOYSA-N,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,3,x0310-x0416-merge-1-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,LXINEYASRREWNB-UHFFFAOYSA-N
1,Amidation,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,1.0,Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,Nc1cccc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,,,,,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,BHKVBKDDVLQZCR-UHFFFAOYSA-N,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,BHKVBKDDVLQZCR-UHFFFAOYSA-N
2,Amidation,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)C1CCCO1,,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,N-Boc_deprotection,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,,1.0,Cc1ccc(N)cc1NC(=O)C1CCCO1,Amidation,Cc1ccc(N)cc1NC(=O)C1CCCO1,N#CCC(=O)O,1.0,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,,,,,,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,3,x0310-x0416-merge-2-2,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,CEQDLNCRDRYDKS-UHFFFAOYSA-N,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,3,x0310-x0416-merge-2-2,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,CEQDLNCRDRYDKS-UHFFFAOYSA-N
3,Amidation,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,1.0,Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,Nc1ccnc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,,,,,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-3,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,GHOYNZDJCPMSBM-UHFFFAOYSA-N,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-3,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,GHOYNZDJCPMSBM-UHFFFAOYSA-N
4,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,N-Boc_deprotection,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,1.0,Cc1ccc(NC(=O)C2CCCO2)cc1N,Amidation,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,1.0,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,,,,,,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,3,x0310-x0416-merge-2-4,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,BCPKNOZHZDDVQN-UHFFFAOYSA-N,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,3,x0310-x0416-merge-2-4,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,BCPKNOZHZDDVQN-UHFFFAOYSA-N
5,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,1.0,Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,Nc1cc(NC(=O)C2CCCO2)ccc1F,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,,,,,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,3,x0310-x0416-merge-2-6,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,UASLKFQKYXHLQJ-UHFFFAOYSA-N,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,3,x0310-x0416-merge-2-6,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,UASLKFQKYXHLQJ-UHFFFAOYSA-N
6,Amidation,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)C1CCCO1,,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,1.0,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Amidation,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,,,,,,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-7,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,GOUNARLEGNWPCP-UHFFFAOYSA-N,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,3,x0310-x0416-merge-2-7,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,GOUNARLEGNWPCP-UHFFFAOYSA-N
7,Amidation,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)CO,,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,N-Boc_deprotection,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,,1.0,Cn1ncc(N)c1NC(=O)CO,Amidation,Cn1ncc(N)c1NC(=O)CO,N#CCC(=O)O,1.0,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,,,,,,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,3,x0310-x0732-merge-1-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,DCIDJYONTYLQEI-UHFFFAOYSA-N,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,3,x0310-x0732-merge-1-1,0,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,DCIDJYONTYLQEI-UHFFFAOYSA-N
8,Amidation,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)CO,,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,,1.0,Nc1cccc(NC(=O)CO)c1,Amidation,Nc1cccc(NC(=O)CO)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,,,,,,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,3,x0310-x0732-merge-2-1,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,IGUPJTYXYZPOEC-UHFFFAOYSA-N,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,3,x0310-x0732-merge-2-1,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,IGUPJTYXYZPOEC-UHFFFAOYSA-N
9,Amidation,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)CO,,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,N-Boc_deprotection,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,,1.0,Cc1ccc(N)cc1NC(=O)CO,Amidation,Cc1ccc(N)cc1NC(=O)CO,N#CCC(=O)O,1.0,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,,,,,,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,3,x0310-x0732-merge-2-2,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NBJGZNPZLLTJSQ-UHFFFAOYSA-N,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,3,x0310-x0732-merge-2-2,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NBJGZNPZLLTJSQ-UHFFFAOYSA-N
