,target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3,reactant-1-4,reactant-2-4,reaction-product-smiles-4,reaction-name-4,reaction-recipe-4,reaction-groupby-column-4
0,x0310-x0416-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)C1CCCO1,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,Amidation,standard,TRUE,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,,Cn1ncc(N)c1NC(=O)C1CCCO1,Boc deprotection,standard,TRUE,Cn1ncc(N)c1NC(=O)C1CCCO1,N#CCC(=O)O,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,Amidation,standard,TRUE,,,,,,
1,x0310-x0416-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,Nc1cccc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,TRUE,Nc1cccc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,,,,,,
2,x0310-x0416-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)C1CCCO1,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,Amidation,standard,TRUE,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,,Cc1ccc(N)cc1NC(=O)C1CCCO1,Boc deprotection,standard,TRUE,Cc1ccc(N)cc1NC(=O)C1CCCO1,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,Amidation,standard,TRUE,,,,,,
3,x0310-x0416-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,Nc1ccnc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,TRUE,Nc1ccnc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,,,,,,
4,x0310-x0416-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,Amidation,standard,TRUE,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)C2CCCO2)cc1N,Boc deprotection,standard,TRUE,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,Amidation,standard,TRUE,,,,,,
5,x0310-x0416-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,Amidation,standard,TRUE,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)C2CCCO2)cc1N,Boc deprotection,standard,TRUE,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,Amidation,standard,TRUE,,,,,,
6,x0310-x0416-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,standard,TRUE,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,Nc1cc(NC(=O)C2CCCO2)ccc1F,Boc deprotection,standard,TRUE,Nc1cc(NC(=O)C2CCCO2)ccc1F,N#CCC(=O)O,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,standard,TRUE,,,,,,
7,x0310-x0416-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)C1CCCO1,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,TRUE,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,,,,,,
8,x0310-x0416-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)C1CCCO1,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,TRUE,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,Amidation,standard,TRUE,,,,,,
9,x0310-x0732-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)CO,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,Amidation,standard,TRUE,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,,Cn1ncc(N)c1NC(=O)CO,Boc deprotection,standard,TRUE,Cn1ncc(N)c1NC(=O)CO,N#CCC(=O)O,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,Amidation,standard,TRUE,,,,,,
