,smiles,reactants,reaction_names,num_steps,compound_set,batch,hits
80,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CO,"[('Cc1cccc(O)c1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cccc(O)c1NC(=O)CO[Si](C)(C)C(C)(C)C', ('Cc1cccc(O)c1NC(=O)CO', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0732-merge-1-5,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
81,Cc1cc(C)c(NC(=O)COC2CCN(C)C2=O)c(O)c1,"[('Cc1cc(O)c(N)c(C)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cc(C)c(NC(=O)CO[Si](C)(C)C(C)(C)C)c(O)c1', ('Cc1cc(C)c(NC(=O)CO)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0732-merge-1-6,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
82,Cc1nccc(OC2CCN(C)C2=O)c1NC(=O)CO,"[('Oc1ccnc(C)c1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1nccc(O)c1NC(=O)CO[Si](C)(C)C(C)(C)C', ('Cc1nccc(O)c1NC(=O)CO', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0732-merge-1-7,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
83,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CO)c(C)n1,"[('Cc1cc(O)c(N)c(C)n1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cc(O)c(NC(=O)CO[Si](C)(C)C(C)(C)C)c(C)n1', ('Cc1cc(O)c(NC(=O)CO)c(C)n1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0732-merge-1-8,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
84,Cc1cnc(NC(=O)CS)c(OC2CCN(C)C2=O)c1,"[('Cc1cnc(N)c(O)c1', 'O=C(O)CS'), ('Cc1cnc(NC(=O)CS)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-1,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
85,CN1CCC(Oc2ccccc2NC(=O)CS)C1=O,"[('Nc1ccccc1O', 'O=C(O)CS'), ('O=C(CS)Nc1ccccc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-2,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
86,Cc1ccc(NC(=O)CS)c(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)c(N)cc1', 'O=C(O)CS'), ('Cc1ccc(NC(=O)CS)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-3,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
87,CN1CCC(Oc2cc(F)ccc2NC(=O)CS)C1=O,"[('Fc1cc(O)c(N)cc1', 'O=C(O)CS'), ('O=C(CS)Nc1ccc(F)cc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-4,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
88,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CS,"[('Cc1cccc(O)c1N', 'O=C(O)CS'), ('Cc1cccc(O)c1NC(=O)CS', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-5,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
89,Cc1cc(C)c(NC(=O)CS)c(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)c(N)c(C)c1', 'O=C(O)CS'), ('Cc1cc(C)c(NC(=O)CS)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0732-merge-2-6,8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
