file,molecule,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,LXINEYASRREWNB-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,CEQDLNCRDRYDKS-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,GOUNARLEGNWPCP-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,GOUNARLEGNWPCP-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,DCIDJYONTYLQEI-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,FQGGXMVTNBDGEE-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,WCNAXNCVZXMWKF-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,FQGGXMVTNBDGEE-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,CLVVEVVTKNLLLU-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,ZEEZCEGNYUPWRG-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,ZEEZCEGNYUPWRG-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,SXKJOQUQPNBOSA-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,KYUARQFQJUCNFW-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,AKCZIULVMOLGHC-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,XNQQWKFGJZTTEX-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,CVBLKWHDGHXHMC-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,UASUHFYDLOTSPQ-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,WKZRUHMHRSTISJ-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,GNGHXHDPKASYTF-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,STIQFIHEOJHUKS-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,HTQKETIGMLSVKZ-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,XIPUDWAUXVXPNO-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,VKJZGMPIQHJVLA-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,PNVZAYIBWRTCMN-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,SBHWNWCNYBGLJZ-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,ZVTXJLVFUAMZRS-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,NMLCPEMTBQOHIE-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,SMTYBWHFSAKKED-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,JKENRCTVZAQDOU-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,JKENRCTVZAQDOU-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,WMXYYSIGMVYKFL-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,VDDVVUWBLUMWLR-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,JDJTZDXQRRYBMV-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,ZMNSQVIBTKNQGL-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,BRSYMCNEXAIIKP-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,APPQVEGAZDMLRK-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,POCUJFWFNYSLBL-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,APPQVEGAZDMLRK-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
/Users/kate_fieseler/PycharmProjects/EV-A71-2A-syndirella-run/check_base_placements_april7/iris_placements.sdf,VDXZGYJNKRBGHE-UHFFFAOYSA-N,True,True,True,True,True,True,True,True,True
