Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms
Ax0450a,A71EV2A-x0450_A_201_A71EV2A-x0501+A+152+1,Z100642432,CN(C)C(=O)c1ccc(F)cc1Br,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0451a,A71EV2A-x0451_A_201_A71EV2A-x0501+A+152+1,Z100643660,CNC(=O)c1cn(C)c2ccccc12,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0469a,A71EV2A-x0469_A_147_A71EV2A-x0469+A+147+1,Z104924088,CC(C)N1CCN(c2ncccn2)CC1,True,6b - A71EV2A-x0469,6 - A147,F1h - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0473a,A71EV2A-x0473_A_147_A71EV2A-x0501+A+152+1,Z1082839290,O=S(=O)(NC1CCCC1)C1CCOCC1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0486a,A71EV2A-x0486_A_147_A71EV2A-x0486+A+147+1,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,True,7a - A71EV2A-x0486,7 - A147,F1i - A71_2A_open - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0488a,A71EV2A-x0488_A_147_A71EV2A-x0488+A+147+1,Z1154747269,O=c1ccncn1CCO,True,8b - A71EV2A-x0488,8 - A147,F1j - A71_2A_open - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0497a,A71EV2A-x0497_A_147_A71EV2A-x0395+A+148+1,Z1198158918,N#Cc1n[nH]c2ccccc12,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0501a,A71EV2A-x0501_A_151_A71EV2A-x0501+A+152+1,Z1198177230,COc1ccccc1-c1nnco1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0501b,A71EV2A-x0501_A_152_A71EV2A-x0501+A+152+1,Z1198177230,COc1ccccc1-c1nnco1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0514a,A71EV2A-x0514_B_151_A71EV2A-x0501+A+152+1,Z1201620232,COc1ccc2sc(N)nc2c1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0514b,A71EV2A-x0514_A_151_A71EV2A-x0528+A+201+1,Z1201620232,COc1ccc2sc(N)nc2c1,True,10a - A71EV2A-x0528,10 - A201,F3m - A71_2A_open_long_cell - A71EV2A-x0514/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0515a,A71EV2A-x0515_A_201_A71EV2A-x0501+A+152+1,Z1201621547,COC(=O)c1ccncc1N,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0515b,A71EV2A-x0515_A_147_A71EV2A-x0395+A+148+1,Z1201621547,COC(=O)c1ccncc1N,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0517a,A71EV2A-x0517_A_147_A71EV2A-x0528+A+201+1,Z1203107138,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,True,10a - A71EV2A-x0528,10 - A201,F1n - A71_2A_open - A71EV2A-x0517/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0525a,A71EV2A-x0525_A_147_A71EV2A-x0501+A+152+1,Z1216861874,O=c1ccc(OC(F)F)c[nH]1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0526a,A71EV2A-x0526_A_147_A71EV2A-x0501+A+152+1,Z1217131798,Cc1nccn1-c1cccnc1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0528a,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1,Z1217960891,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0528b,A71EV2A-x0528_A_201_A71EV2A-x0528+A+201+1,Z1217960891,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,True,10a - A71EV2A-x0528,10 - A201,F2o - A71_2A_open_small_cell - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0540a,A71EV2A-x0540_A_147_A71EV2A-x0501+A+152+1,Z124039706,N#Cc1ccc(CNCc2ccc(F)cc2)cc1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0541a,A71EV2A-x0541_A_147_A71EV2A-x0541+A+147+1,Z1246465616,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0554a,A71EV2A-x0554_A_201_A71EV2A-x0501+A+152+1,Z1255459547,CC(=O)Nc1cccc2cc[nH]c12,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0554b,A71EV2A-x0554_A_147_A71EV2A-x0554+A+147+1,Z1255459547,CC(=O)Nc1cccc2cc[nH]c12,True,12a - A71EV2A-x0554,12 - A147,F1q - A71_2A_open - A71EV2A-x0554/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0556a,A71EV2A-x0556_A_147_A71EV2A-x0501+A+152+1,Z1259207775,Cn1cc(N)c(C(=O)NC2CCC2)n1,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0566a,A71EV2A-x0566_A_147_A71EV2A-x0501+A+152+1,Z1267800292,CNC(=O)c1cccc2cc[nH]c12,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax0571a,A71EV2A-x0571_A_147_A71EV2A-x0571+A+147+1,Z1270393711,COCc1cc(C(N)=O)no1,True,13a - A71EV2A-x0571,13 - A147,F1r - A71_2A_open - A71EV2A-x0571/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0586a,A71EV2A-x0586_A_147_A71EV2A-x0541+A+147+1,Z1333043510,CN1CCCc2ccc(S(N)(=O)=O)cc21,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
