,batch,base,base_output_dir,minimised,error
0,batch0,LXINEYASRREWNB-UHFFFAOYSA-N,LXINEYASRREWNB-UHFFFAOYSA-N-S88V5d-base-A,True,
1,batch0,LXINEYASRREWNB-UHFFFAOYSA-N,LXINEYASRREWNB-UHFFFAOYSA-N-S88V5d-base-B,True,
2,batch0,BHKVBKDDVLQZCR-UHFFFAOYSA-N,BHKVBKDDVLQZCR-UHFFFAOYSA-N-32LB6u-base-A,True,
3,batch0,BHKVBKDDVLQZCR-UHFFFAOYSA-N,BHKVBKDDVLQZCR-UHFFFAOYSA-N-32LB6u-base-B,True,
4,batch0,CEQDLNCRDRYDKS-UHFFFAOYSA-N,CEQDLNCRDRYDKS-UHFFFAOYSA-N-45U3LK-base-A,True,
5,batch0,CEQDLNCRDRYDKS-UHFFFAOYSA-N,CEQDLNCRDRYDKS-UHFFFAOYSA-N-45U3LK-base-B,True,
6,batch0,GHOYNZDJCPMSBM-UHFFFAOYSA-N,GHOYNZDJCPMSBM-UHFFFAOYSA-N-344pmr-base-A,True,
7,batch0,GHOYNZDJCPMSBM-UHFFFAOYSA-N,GHOYNZDJCPMSBM-UHFFFAOYSA-N-344pmr-base-B,True,
8,batch0,BCPKNOZHZDDVQN-UHFFFAOYSA-N,BCPKNOZHZDDVQN-UHFFFAOYSA-N-4CUb4e-base-A,True,
9,batch0,BCPKNOZHZDDVQN-UHFFFAOYSA-N,BCPKNOZHZDDVQN-UHFFFAOYSA-N-4CUb4e-base-B,True,
10,batch0,UASLKFQKYXHLQJ-UHFFFAOYSA-N,UASLKFQKYXHLQJ-UHFFFAOYSA-N-3PLYZR-base-A,True,
11,batch0,UASLKFQKYXHLQJ-UHFFFAOYSA-N,UASLKFQKYXHLQJ-UHFFFAOYSA-N-3PLYZR-base-B,True,
12,batch0,GOUNARLEGNWPCP-UHFFFAOYSA-N,GOUNARLEGNWPCP-UHFFFAOYSA-N-3ntHtD-base-A,True,
13,batch0,GOUNARLEGNWPCP-UHFFFAOYSA-N,GOUNARLEGNWPCP-UHFFFAOYSA-N-3ntHtD-base-B,True,
14,batch1,IGUPJTYXYZPOEC-UHFFFAOYSA-N,IGUPJTYXYZPOEC-UHFFFAOYSA-N-4Sratv-base-A,False,
15,batch1,NBJGZNPZLLTJSQ-UHFFFAOYSA-N,NBJGZNPZLLTJSQ-UHFFFAOYSA-N-4DiKxh-base-A,False,
16,batch1,ODONBPGOOMWOPQ-UHFFFAOYSA-N,ODONBPGOOMWOPQ-UHFFFAOYSA-N-nEzAW3-base-A,False,
17,batch1,TYJSTJNCXZDPLY-UHFFFAOYSA-N,TYJSTJNCXZDPLY-UHFFFAOYSA-N-CMcr7A-base-A,False,
18,batch1,JVLRHPWRWSSGDH-UHFFFAOYSA-N,JVLRHPWRWSSGDH-UHFFFAOYSA-N-SYTESp-base-A,False,
19,batch1,MBMRUNGQBMGNOP-UHFFFAOYSA-N,MBMRUNGQBMGNOP-UHFFFAOYSA-N-3ncoui-base-A,False,
20,batch1,FQGGXMVTNBDGEE-UHFFFAOYSA-N,FQGGXMVTNBDGEE-UHFFFAOYSA-N-4AWPFD-base-A,True,
21,batch1,WCNAXNCVZXMWKF-UHFFFAOYSA-N,WCNAXNCVZXMWKF-UHFFFAOYSA-N-4yDW8h-base-A,True,
22,batch2,FQGGXMVTNBDGEE-UHFFFAOYSA-N,FQGGXMVTNBDGEE-UHFFFAOYSA-N-3FVu69-base-A,True,
23,batch2,CLVVEVVTKNLLLU-UHFFFAOYSA-N,CLVVEVVTKNLLLU-UHFFFAOYSA-N-3jZarX-base-A,True,
24,batch2,ZEEZCEGNYUPWRG-UHFFFAOYSA-N,ZEEZCEGNYUPWRG-UHFFFAOYSA-N-47pXf9-base-A,True,
25,batch2,SXKJOQUQPNBOSA-UHFFFAOYSA-N,SXKJOQUQPNBOSA-UHFFFAOYSA-N-3fm47r-base-A,True,
26,batch2,KYUARQFQJUCNFW-UHFFFAOYSA-N,KYUARQFQJUCNFW-UHFFFAOYSA-N-3mFsKS-base-A,True,
27,batch3,CKSCOKHGLICLHQ-UHFFFAOYSA-N,CKSCOKHGLICLHQ-UHFFFAOYSA-N-395xmJ-base-A,True,
28,batch3,CKSCOKHGLICLHQ-UHFFFAOYSA-N,CKSCOKHGLICLHQ-UHFFFAOYSA-N-395xmJ-base-B,True,
29,batch3,QDEXMOJNLWMDJW-UHFFFAOYSA-N,QDEXMOJNLWMDJW-UHFFFAOYSA-N-3nJyVp-base-B,False,
30,batch3,QDEXMOJNLWMDJW-UHFFFAOYSA-N,QDEXMOJNLWMDJW-UHFFFAOYSA-N-3nJyVp-base-A,False,
31,batch3,UASUHFYDLOTSPQ-UHFFFAOYSA-N,UASUHFYDLOTSPQ-UHFFFAOYSA-N-4Hgmsz-base-A,True,
32,batch3,UASUHFYDLOTSPQ-UHFFFAOYSA-N,UASUHFYDLOTSPQ-UHFFFAOYSA-N-4Hgmsz-base-B,True,
33,batch3,WKZRUHMHRSTISJ-UHFFFAOYSA-N,WKZRUHMHRSTISJ-UHFFFAOYSA-N-3JHX4s-base-A,True,
34,batch3,WKZRUHMHRSTISJ-UHFFFAOYSA-N,WKZRUHMHRSTISJ-UHFFFAOYSA-N-3JHX4s-base-B,True,
35,batch3,BRPRTCVLXGUWHL-UHFFFAOYSA-N,BRPRTCVLXGUWHL-UHFFFAOYSA-N-3QVTyu-base-B,False,
36,batch3,BRPRTCVLXGUWHL-UHFFFAOYSA-N,BRPRTCVLXGUWHL-UHFFFAOYSA-N-3QVTyu-base-A,False,
37,batch3,WAIPLHISPZPDCO-UHFFFAOYSA-N,WAIPLHISPZPDCO-UHFFFAOYSA-N-3RykGU-base-A,False,
38,batch3,WAIPLHISPZPDCO-UHFFFAOYSA-N,WAIPLHISPZPDCO-UHFFFAOYSA-N-3RykGU-base-B,False,
39,batch3,GNGHXHDPKASYTF-UHFFFAOYSA-N,GNGHXHDPKASYTF-UHFFFAOYSA-N-4NhNCq-base-A,True,
40,batch3,HTQKETIGMLSVKZ-UHFFFAOYSA-N,HTQKETIGMLSVKZ-UHFFFAOYSA-N-W2Jvjy-base-A,True,
41,batch5,IQMJGAJBLUOSIO-UHFFFAOYSA-N,IQMJGAJBLUOSIO-UHFFFAOYSA-N-SzCdJu-base-A,True,
42,batch5,AQBGOYVDFRNQGD-UHFFFAOYSA-N,AQBGOYVDFRNQGD-UHFFFAOYSA-N-wGmh6b-base-A,False,
43,batch5,PNVZAYIBWRTCMN-UHFFFAOYSA-N,PNVZAYIBWRTCMN-UHFFFAOYSA-N-ArfTKd-base-A,True,
