,smiles,reactants,name,r0,r0_found,r1,r1_found,r2,r2_found,r3,r3_found,r4,r4_found,r5,r5_found,r6,r6_found
0,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,"[('Cn1ncc(NC(=O)OC(C)(C)C)c1N', 'O=C(O)C1CCCO1'), 'Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1', ('Cn1ncc(N)c1NC(=O)C1CCCO1', 'N#CCC(=O)O')]",LXINEYASRREWNB-UHFFFAOYSA-N,'Cn1nccNC=OOCCCCc1N',, 'O=COC1CCCO1',, 'Cn1nccNC=OOCCCCc1NC=OC1CCCO1',, 'Cn1nccNc1NC=OC1CCCO1',, 'N#CCC=OO',,,,,
1,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', ('Nc1cccc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]",BHKVBKDDVLQZCR-UHFFFAOYSA-N,'CCCCOC=ONc1ccccNc1',, 'O=COC1CCCO1',, 'CCCCOC=ONc1ccccNC=OC2CCCO2c1',, 'Nc1ccccNC=OC2CCCO2c1',, 'N#CCC=OO',,,,,
2,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1', ('Nc1ccnc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]",GHOYNZDJCPMSBM-UHFFFAOYSA-N,'Nc1ccNC=OOCCCCccn1',, 'O=COC1CCCO1',, 'CCCCOC=ONc1ccncNC=OC2CCCO2c1',, 'Nc1ccncNC=OC2CCCO2c1',, 'N#CCC=OO',,,,,
3,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)C2CCCO2)cc1N', 'N#CCC(=O)O')]",BCPKNOZHZDDVQN-UHFFFAOYSA-N,'CCCCOC=ONc1ccNccc1C',, 'O=COC1CCCO1',, 'Cc1cccNC=OC2CCCO2cc1NC=OOCCCC',, 'Cc1cccNC=OC2CCCO2cc1N',, 'N#CCC=OO',,,,,
4,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', ('Nc1cc(NC(=O)C2CCCO2)ccc1F', 'N#CCC(=O)O')]",UASLKFQKYXHLQJ-UHFFFAOYSA-N,'CCCCOC=ONc1ccNccc1F',, 'O=COC1CCCO1',, 'CCCCOC=ONc1ccNC=OC2CCCO2ccc1F',, 'Nc1ccNC=OC2CCCO2ccc1F',, 'N#CCC=OO',,,,,
5,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)C1CCCO1'), 'Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1', ('Cc1cc(N)cc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]",GOUNARLEGNWPCP-UHFFFAOYSA-N,'CCCCOC=ONc1ccCccNc1',, 'O=COC1CCCO1',, 'Cc1ccNC=OOCCCCccNC=OC2CCCO2c1',, 'Cc1ccNccNC=OC2CCCO2c1',, 'N#CCC=OO',,,,,
7,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,"[('Cn1ncc(NC(=O)OC(C)(C)C)c1N', 'O=C(O)CO'), 'Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO', ('Cn1ncc(N)c1NC(=O)CO', 'N#CCC(=O)O')]",DCIDJYONTYLQEI-UHFFFAOYSA-N,'Cn1nccNC=OOCCCCc1N',, 'O=COCO',, 'Cn1nccNC=OOCCCCc1NC=OCO',, 'Cn1nccNc1NC=OCO',, 'N#CCC=OO',,,,,
8,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Cc1cnc(O)cc1N', 'N#CCC(=O)O'), ('Cc1cnc(O)cc1NC(=O)CC#N', 'O=C(CCl)N1CCOCC1')]",WCNAXNCVZXMWKF-UHFFFAOYSA-N,'Cc1cncOcc1N',, 'N#CCC=OO',, 'Cc1cncOcc1NC=OCC#N',, 'O=CCClN1CCOCC1',,,,,,,
9,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'N#CCC(=O)O'), ('Cc1cc(O)cc(NC(=O)CC#N)c1', 'O=C(CCl)N1CCOCC1')]",FQGGXMVTNBDGEE-UHFFFAOYSA-N,'Cc1ccOccNc1',, 'N#CCC=OO',, 'Cc1ccOccNC=OCC#Nc1',, 'O=CCClN1CCOCC1',,,,,,,
10,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,"[('Nc1cccc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]",CLVVEVVTKNLLLU-UHFFFAOYSA-N,'Nc1ccccOc1',, 'N#CCC=OO',, 'N#CCC=ONc1ccccOc1',, 'O=CCClN1CCOCC1',,,,,,,
11,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Cc1ccc(O)cc1N', 'N#CCC(=O)O'), ('Cc1ccc(O)cc1NC(=O)CC#N', 'O=C(CCl)N1CCOCC1')]",ZEEZCEGNYUPWRG-UHFFFAOYSA-N,'Cc1cccOcc1N',, 'N#CCC=OO',, 'Cc1cccOcc1NC=OCC#N',, 'O=CCClN1CCOCC1',,,,,,,
12,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,"[('Nc1cc(O)c(C)cc1', 'N#CCC(=O)O'), ('Cc1ccc(NC(=O)CC#N)cc1O', 'O=C(CCl)N1CCOCC1')]",KYUARQFQJUCNFW-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'N#CCC=OO',, 'Cc1cccNC=OCC#Ncc1O',, 'O=CCClN1CCOCC1',,,,,,,
13,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Nc1cc(O)c(C)cc1C', 'N#CCC(=O)O'), ('Cc1cc(C)c(NC(=O)CC#N)cc1O', 'O=C(CCl)N1CCOCC1')]",AKCZIULVMOLGHC-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'N#CCC=OO',, 'Cc1ccCcNC=OCC#Ncc1O',, 'O=CCClN1CCOCC1',,,,,,,
14,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,"[('Nc1cncc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cncc(O)c1', 'O=C(CCl)N1CCOCC1')]",XNQQWKFGJZTTEX-UHFFFAOYSA-N,'Nc1cnccOc1',, 'N#CCC=OO',, 'N#CCC=ONc1cnccOc1',, 'O=CCClN1CCOCC1',,,,,,,
15,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,"[('Nc1ccnc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1ccnc(O)c1', 'O=C(CCl)N1CCOCC1')]",CVBLKWHDGHXHMC-UHFFFAOYSA-N,'Nc1ccncOc1',, 'N#CCC=OO',, 'N#CCC=ONc1ccncOc1',, 'O=CCClN1CCOCC1',,,,,,,
16,Cc1cccc(OC2CCN(C)C2=O)c1OCC(=O)N1CCOCC1,"[('Cc1cccc(O)c1OCc1ccccc1', 'O=C1C(Cl)CCN1C'), 'Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1', ('Cc1cccc(OC2CCN(C)C2=O)c1O', 'O=C(CCl)N1CCOCC1')]",UASUHFYDLOTSPQ-UHFFFAOYSA-N,'Cc1ccccOc1OCc1ccccc1',, 'O=C1CClCCN1C',, 'Cc1ccccOC2CCNCC2=Oc1OCc1ccccc1',, 'Cc1ccccOC2CCNCC2=Oc1O',, 'O=CCClN1CCOCC1',,,,,
17,Cc1cc(C)c(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)c(OCc2ccccc2)c(C)c1', 'O=C1C(Cl)CCN1C'), 'Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1', ('Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1', 'O=C(CCl)N1CCOCC1')]",WKZRUHMHRSTISJ-UHFFFAOYSA-N,'Cc1ccOcOCc2ccccc2cCc1',, 'O=C1CClCCN1C',, 'Cc1ccCcOCc2ccccc2cOC2CCNCC2=Oc1',, 'Cc1ccCcOcOC2CCNCC2=Oc1',, 'O=CCClN1CCOCC1',,,,,
