,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,name,frag_small,num_steps,compound_set,hits
0,Amidation,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)C1CCCO1,,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,N-Boc_deprotection,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,,1,Cn1ncc(N)c1NC(=O)C1CCCO1,Amidation,Cn1ncc(N)c1NC(=O)C1CCCO1,N#CCC(=O)O,1.0,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,,,,,,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,LXINEYASRREWNB-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-1-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
1,Amidation,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,1,Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,Nc1cccc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,,,,,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,BHKVBKDDVLQZCR-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-2-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
2,Amidation,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,1,Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,Nc1ccnc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,,,,,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,GHOYNZDJCPMSBM-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-2-3,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
3,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,N-Boc_deprotection,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,1,Cc1ccc(NC(=O)C2CCCO2)cc1N,Amidation,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,1.0,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,,,,,,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,BCPKNOZHZDDVQN-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-2-4,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
4,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)C1CCCO1,,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,1,Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,Nc1cc(NC(=O)C2CCCO2)ccc1F,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,,,,,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,UASLKFQKYXHLQJ-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-2-6,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
5,Amidation,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)C1CCCO1,,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,N-Boc_deprotection,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,1,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Amidation,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,1.0,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,,,,,,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,GOUNARLEGNWPCP-UHFFFAOYSA-N,"['Ax0310a', 'Ax0416a']",3,x0310-x0416-merge-2-7,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
7,Amidation,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)CO,,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,N-Boc_deprotection,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,,1,Cn1ncc(N)c1NC(=O)CO,Amidation,Cn1ncc(N)c1NC(=O)CO,N#CCC(=O)O,1.0,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,,,,,,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,DCIDJYONTYLQEI-UHFFFAOYSA-N,"['Ax0310a', 'Ax0732a']",3,x0310-x0732-merge-1-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
8,Amidation,Cc1cnc(O)cc1N,N#CCC(=O)O,,Cc1cnc(O)cc1NC(=O)CC#N,Williamson_ether_synthesis,Cc1cnc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,1,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,,,,,,,,,,,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,WCNAXNCVZXMWKF-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
9,Amidation,Cc1cc(O)cc(N)c1,N#CCC(=O)O,,Cc1cc(O)cc(NC(=O)CC#N)c1,Williamson_ether_synthesis,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,1,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,FQGGXMVTNBDGEE-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
10,Amidation,Nc1cccc(O)c1,N#CCC(=O)O,,N#CCC(=O)Nc1cccc(O)c1,Williamson_ether_synthesis,N#CCC(=O)Nc1cccc(O)c1,O=C(CCl)N1CCOCC1,1,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,CLVVEVVTKNLLLU-UHFFFAOYSA-N,"['Ax0310a', 'Ax0739a']",2,x0310-x0739-merge-2-4,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
