,smiles,reactants,reaction_names,num_steps,compound_set,hits,name
0,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1', ('Cc1ccc(N)cc1NC(=O)C1CCCO1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0416-merge-2-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,CEQDLNCRDRYDKS-UHFFFAOYSA-N
1,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1', ('Nc1cccc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,IGUPJTYXYZPOEC-UHFFFAOYSA-N
2,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'O=C(O)CO'), 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO', ('Cc1ccc(N)cc1NC(=O)CO', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NBJGZNPZLLTJSQ-UHFFFAOYSA-N
3,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1', ('Nc1ccnc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-3,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,ODONBPGOOMWOPQ-UHFFFAOYSA-N
4,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)CO'), 'Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)CO)cc1N', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-4,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,TYJSTJNCXZDPLY-UHFFFAOYSA-N
5,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F', ('Nc1cc(NC(=O)CO)ccc1F', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-6,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,JVLRHPWRWSSGDH-UHFFFAOYSA-N
6,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO'), 'Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1', ('Cc1cc(N)cc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-7,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,MBMRUNGQBMGNOP-UHFFFAOYSA-N
7,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('Fc1ccc(O)cc1N', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0310-x0739-merge-2-7,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,SXKJOQUQPNBOSA-UHFFFAOYSA-N
8,CN(C)C(=O)c1ccc(F)cc1OC1CCN(C)C1=O,"[('O=C(c1ccc(F)cc1Cl)N(C)C', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,x0528-x0450-merge-1-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0450_A_201_A71EV2A-x0501+A+152+1,OTTBQIGJBPRLCN-UHFFFAOYSA-N
9,CN(C)C(=O)c1ccccc1OC1CCN(C)C1=O,"[('CN(C)C(=O)c1ccccc1Cl', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,x0528-x0450-merge-1-2,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0450_A_201_A71EV2A-x0501+A+152+1,CKSCOKHGLICLHQ-UHFFFAOYSA-N
