file,molecule,mol_pred_loaded,mol_cond_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters
bases_c79_named.sdf,Cn1ncc(NC(=O)CC#N)c1NC(=O)[C@@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cn1ncc(NC(=O)CC#N)c1NC(=O)[C@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cccc(NC(=O)[C@@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cccc(NC(=O)[C@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)CC#N)cc1NC(=O)[C@@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)CC#N)cc1NC(=O)[C@@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1ccnc(NC(=O)[C@@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1ccnc(NC(=O)[C@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@@H]2CCCO2)cc1NC(=O)CC#N,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@H]2CCCO2)cc1NC(=O)CC#N,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cc(NC(=O)[C@@H]2CCCO2)ccc1F,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bases_c79_named.sdf,Cc1cc(NC(=O)CC#N)cc(NC(=O)[C@@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(NC(=O)CC#N)cc(NC(=O)[C@H]2CCCO2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cccc(C)c1NC(=O)CO,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1ccccc1NC(=O)CO,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cccc(F)c1NC(=O)CO,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(C)cc(OCC(=O)N(C)C)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)c(C)cc1C,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@@H]2CCCO2)cc1O[C@@H]1CCN(C)C1=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@H]2CCCO2)cc1O[C@@H]1CCN(C)C1=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@@H]2CCCO2)cc1O[C@@H]1CCN(C)C1=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1ccc(NC(=O)[C@H]2CCCO2)cc1O[C@@H]1CCN(C)C1=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(C)c(O[C@@H]2CCN(C)C2=O)cc1NC(=O)[C@@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,Cc1cc(C)c(O[C@@H]2CCN(C)C2=O)cc1NC(=O)[C@H]1CCCO1,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
bases_c79_named.sdf,CN1CC[C@@H](Oc2cncc(NC(=O)[C@@H]3CCCO3)c2)C1=O,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
